"poll_id","state","end_date","transparency_score","candidate_name","pct"
76426,"Georgia",2022-02-07,5,"Kamala Harris",27.92
76426,"Georgia",2022-02-07,5,"Donald Trump",13.82
76426,"Georgia",2022-02-07,5,"Elizabeth Ann Warren",26.82
76426,"Georgia",2022-02-07,5,"Bernie Sanders",8.92
76426,"Georgia",2022-02-07,5,"Joe Biden",22.53
88824,"Alaska",2022-05-07,9,"Bernie Sanders",61.36
88824,"Alaska",2022-05-07,9,"Kamala Harris",38.64
85951,"New Hampshire",2022-01-07,0.5,"Donald Trump",6.81
85951,"New Hampshire",2022-01-07,0.5,"Elizabeth Ann Warren",93.19
77868,"Wisconsin",2022-03-07,5,"Elizabeth Ann Warren",66.62
77868,"Wisconsin",2022-03-07,5,"Bernie Sanders",33.38
81785,"Delaware",2024-03-07,5.5,"Bernie Sanders",3.05
81785,"Delaware",2024-03-07,5.5,"Joe Biden",96.95
78485,"Illinois",2023-10-07,0,"Kamala Harris",40.41
78485,"Illinois",2023-10-07,0,"Elizabeth Ann Warren",38.48
78485,"Illinois",2023-10-07,0,"Bernie Sanders",21.11
75386,"Kentucky",2021-07-07,9,"Elizabeth Ann Warren",1.24
75386,"Kentucky",2021-07-07,9,"Joe Biden",29.28
75386,"Kentucky",2021-07-07,9,"Donald Trump",17.42
75386,"Kentucky",2021-07-07,9,"Bernie Sanders",21.56
75386,"Kentucky",2021-07-07,9,"Kamala Harris",30.5
75858,"New Mexico",2024-03-07,0.5,"Bernie Sanders",13.37
75858,"New Mexico",2024-03-07,0.5,"Donald Trump",26.89
75858,"New Mexico",2024-03-07,0.5,"Joe Biden",21.2
75858,"New Mexico",2024-03-07,0.5,"Elizabeth Ann Warren",38.54
88234,"Utah",2023-12-07,8.5,"Kamala Harris",9.08
88234,"Utah",2023-12-07,8.5,"Bernie Sanders",8.08
88234,"Utah",2023-12-07,8.5,"Joe Biden",31.33
88234,"Utah",2023-12-07,8.5,"Donald Trump",24.34
88234,"Utah",2023-12-07,8.5,"Elizabeth Ann Warren",27.17
80542,"Kentucky",2022-09-07,4,"Donald Trump",12.98
80542,"Kentucky",2022-09-07,4,"Joe Biden",13.31
80542,"Kentucky",2022-09-07,4,"Elizabeth Ann Warren",30.72
80542,"Kentucky",2022-09-07,4,"Kamala Harris",22.78
80542,"Kentucky",2022-09-07,4,"Bernie Sanders",20.22
85750,"Alaska",2023-12-07,8,"Elizabeth Ann Warren",20.49
85750,"Alaska",2023-12-07,8,"Kamala Harris",58.68
85750,"Alaska",2023-12-07,8,"Joe Biden",9.47
85750,"Alaska",2023-12-07,8,"Bernie Sanders",11.35
81344,"Connecticut",2023-08-07,6.5,"Donald Trump",39.66
81344,"Connecticut",2023-08-07,6.5,"Kamala Harris",10.57
81344,"Connecticut",2023-08-07,6.5,"Bernie Sanders",10.47
81344,"Connecticut",2023-08-07,6.5,"Joe Biden",39.29
83593,"Maine",2024-07-07,3,"Joe Biden",44.5
83593,"Maine",2024-07-07,3,"Bernie Sanders",48.7
83593,"Maine",2024-07-07,3,"Kamala Harris",6.8
83859,"Florida",2024-10-07,4.5,"Elizabeth Ann Warren",20.01
83859,"Florida",2024-10-07,4.5,"Kamala Harris",34.58
83859,"Florida",2024-10-07,4.5,"Bernie Sanders",45.41
84696,"Arizona",2024-05-07,9.5,"Elizabeth Ann Warren",53.92
84696,"Arizona",2024-05-07,9.5,"Bernie Sanders",9.09
84696,"Arizona",2024-05-07,9.5,"Donald Trump",36.99
76959,"Mississippi",2021-12-07,7,"Joe Biden",19.74
76959,"Mississippi",2021-12-07,7,"Elizabeth Ann Warren",20.5
76959,"Mississippi",2021-12-07,7,"Kamala Harris",35.27
76959,"Mississippi",2021-12-07,7,"Bernie Sanders",24.49
82792,"Illinois",2023-09-07,3,"Joe Biden",29.11
