poll_id,transparency_score,numeric_grade,pollscore,state,sample_size,end_date,party,candidate_name,days_towards_election,pct
89083,9,NA,NA,Wisconsin,600,10/29/24,DEM,Kamala Harris,7,49
89083,9,NA,NA,Wisconsin,600,10/29/24,REP,Donald Trump,7,49
89088,9,3,-1.1,NA,1446,10/29/24,DEM,Kamala Harris,7,47
89088,9,3,-1.1,NA,1446,10/29/24,REP,Donald Trump,7,46
89088,9,3,-1.1,NA,1446,10/29/24,GRE,Jill Stein,7,1
89088,9,3,-1.1,NA,1446,10/29/24,IND,Cornel West,7,0
89088,9,3,-1.1,NA,1310,10/29/24,DEM,Kamala Harris,7,49
89088,9,3,-1.1,NA,1310,10/29/24,REP,Donald Trump,7,47
89088,9,3,-1.1,NA,1310,10/29/24,GRE,Jill Stein,7,1
89088,9,3,-1.1,NA,1310,10/29/24,IND,Cornel West,7,0
89096,8,NA,NA,South Carolina,400,10/29/24,DEM,Kamala Harris,7,41.5
89096,8,NA,NA,South Carolina,400,10/29/24,REP,Donald Trump,7,58.5
89085,8,NA,NA,Washington,400,10/29/24,DEM,Kamala Harris,7,59.1
89085,8,NA,NA,Washington,400,10/29/24,REP,Donald Trump,7,40.9
89097,8,NA,NA,Oklahoma,400,10/29/24,DEM,Kamala Harris,7,33.2
89097,8,NA,NA,Oklahoma,400,10/29/24,REP,Donald Trump,7,66.8
89040,10,2.9,-0.9,Arizona,550,10/28/24,DEM,Kamala Harris,8,41.9
89040,10,2.9,-0.9,Arizona,550,10/28/24,REP,Donald Trump,8,49.7
89040,10,2.9,-0.9,Arizona,550,10/28/24,LIB,Chase Oliver,8,0.7
89040,10,2.9,-0.9,Arizona,550,10/28/24,GRE,Jill Stein,8,1
89068,8,2.8,-1.3,Minnesota,728,10/28/24,DEM,Kamala Harris,8,51
89068,8,2.8,-1.3,Minnesota,728,10/28/24,REP,Donald Trump,8,43
89098,9,2.9,-0.9,Pennsylvania,824,10/28/24,DEM,Kamala Harris,8,46
89098,9,2.9,-0.9,Pennsylvania,824,10/28/24,REP,Donald Trump,8,47
89104,9,2.8,-0.5,Pennsylvania,2186,10/28/24,DEM,Kamala Harris,8,46
89104,9,2.8,-0.5,Pennsylvania,2186,10/28/24,REP,Donald Trump,8,47
89104,9,2.8,-0.5,Pennsylvania,2186,10/28/24,GRE,Jill Stein,8,2
89104,9,2.8,-0.5,Pennsylvania,2186,10/28/24,LIB,Chase Oliver,8,1
89104,9,2.8,-0.5,Pennsylvania,2186,10/28/24,DEM,Kamala Harris,8,47
89104,9,2.8,-0.5,Pennsylvania,2186,10/28/24,REP,Donald Trump,8,49
89099,10,2.8,-0.6,Michigan,726,10/28/24,DEM,Kamala Harris,8,48
89099,10,2.8,-0.6,Michigan,726,10/28/24,REP,Donald Trump,8,43
89099,10,2.8,-0.6,Michigan,726,10/28/24,IND,Robert F. Kennedy,8,3
89099,10,2.8,-0.6,Michigan,726,10/28/24,IND,Cornel West,8,1
89099,10,2.8,-0.6,Michigan,726,10/28/24,GRE,Jill Stein,8,2
89099,10,2.8,-0.6,Michigan,726,10/28/24,LIB,Chase Oliver,8,0
89100,10,2.8,-0.6,Pennsylvania,819,10/28/24,DEM,Kamala Harris,8,48
89100,10,2.8,-0.6,Pennsylvania,819,10/28/24,REP,Donald Trump,8,48
